course_code,course_name,course_unit
GST101,Use of English,1
ENG101,Workshop Practice,1
MTH101,Elementary Mathematics II,4
GST103,Humanities,1
ENG103,Engineering Drawing I,1
PHY101,General physics I,4
CHM101,General Chemistry I,4
BIO101,Biology for Physical Science,3
GST102,Use of English II,2
ENG102,Workshop Practice II,1
MTH102,Elementary Mathematics II,4
CHM102,General Chemistry II,4
GST108,Social Science,1
ENG104,Engineering Drawing II,1
PHY102,General Physics II,4
GST110,"Science, Technology & Society",1
